date;project;readthroughput;writethroughput
2023-11-26T23:15:37+01:00;hpk;270809;57552
2023-11-26T23:18:17+01:00;hpk;253332;82218
2023-11-26T23:21:34+01:00;hpk;176212;81878
2023-11-26T23:24:17+01:00;hpk;202383;87914
2023-11-26T23:27:33+01:00;hpk;214520;82183
2023-11-26T23:30:12+01:00;hpk;196252;89644
2023-11-26T23:33:07+01:00;hpk;169415;85874
2023-11-26T23:36:23+01:00;hpk;168341;86739
2023-11-26T23:39:39+01:00;hpk;253593;82400
2023-11-26T23:42:17+01:00;hpk;205160;87283
