date;project;millis
2023-11-24T14:34:16+01:00;ksi;62496
2023-11-24T14:35:17+01:00;ksi;46198
2023-11-24T14:36:25+01:00;ksi;52617
2023-11-24T14:37:26+01:00;ksi;46141
2023-11-24T14:38:36+01:00;ksi;56041
2023-11-24T14:39:45+01:00;ksi;54700
2023-11-24T14:40:57+01:00;ksi;57710
2023-11-24T14:42:04+01:00;ksi;52104
2023-11-24T14:43:15+01:00;ksi;55925
2023-11-24T14:44:24+01:00;ksi;55274
