date;project;millis
2023-11-10T20:27:48+01:00;ksi;45807
2023-11-10T20:28:50+01:00;ksi;39162
2023-11-10T20:29:54+01:00;ksi;44763
2023-11-10T20:31:00+01:00;ksi;48530
2023-11-10T20:32:04+01:00;ksi;43355
2023-11-10T20:33:12+01:00;ksi;44087
2023-11-10T20:34:16+01:00;ksi;41464
2023-11-10T20:35:21+01:00;ksi;47324
2023-11-10T20:36:27+01:00;ksi;46376
2023-11-10T20:37:33+01:00;ksi;46958
