date;project;copy;scale;add;triad
2023-11-10T17:41:39+01:00;slurm;81391.4;62005.8;67806.4;63775.5
2023-11-10T17:41:41+01:00;slurm;81591.3;61950.8;68692.9;69224.4
2023-11-10T17:41:42+01:00;slurm;82080.3;62111.4;68902.2;69069.0
2023-11-10T17:41:44+01:00;slurm;82457.5;61981.7;68659.7;69146.4
2023-11-10T17:41:46+01:00;slurm;82109.4;62249.7;68999.4;69198.2
2023-11-10T17:41:48+01:00;slurm;83000.1;62324.8;69000.9;69386.1
2023-11-10T17:41:50+01:00;slurm;82360.4;62382.7;68935.7;69283.9
2023-11-10T17:41:52+01:00;slurm;81954.0;62186.2;68784.0;69058.6
2023-11-10T17:41:54+01:00;slurm;82845.3;62201.2;68884.2;69379.9
2023-11-10T17:41:56+01:00;slurm;82122.5;62259.5;68829.1;69200.6
