date;project;copy;scale;add;triad
2023-11-10T17:44:43+01:00;slurm;88741.6;58926.0;66366.8;66677.6
2023-11-10T17:44:59+01:00;slurm;88960.0;59558.6;66356.6;66766.1
2023-11-10T17:45:14+01:00;slurm;88540.7;60341.6;66620.1;66920.1
2023-11-10T17:45:29+01:00;slurm;88825.3;60145.6;66226.8;66576.4
2023-11-10T17:45:45+01:00;slurm;88664.3;59996.6;66164.0;66660.9
2023-11-10T17:46:00+01:00;slurm;88832.1;59429.0;66384.9;66768.7
2023-11-10T17:46:15+01:00;slurm;88689.4;59986.2;65628.1;66271.2
2023-11-10T17:46:31+01:00;slurm;88951.7;59859.7;66634.8;67348.8
2023-11-10T17:46:46+01:00;slurm;89023.9;59619.2;66293.4;66999.8
2023-11-10T17:47:01+01:00;slurm;89042.2;59784.2;66251.3;66768.5
