date;project;copy;scale;add;triad
2023-11-10T17:50:10+01:00;slurm;81591.3;62017.8;68910.2;69394.2
2023-11-10T17:50:12+01:00;slurm;81644.9;62005.8;68785.9;69013.2
2023-11-10T17:50:14+01:00;slurm;81421.1;61842.9;68874.3;69262.0
2023-11-10T17:50:15+01:00;slurm;81686.7;62657.1;69422.5;69278.2
2023-11-10T17:50:17+01:00;slurm;83004.2;63002.4;68740.3;69082.8
2023-11-10T17:50:19+01:00;slurm;81996.1;62225.4;69098.4;69334.5
2023-11-10T17:50:21+01:00;slurm;83312.3;61842.9;68685.4;69128.3
2023-11-10T17:50:23+01:00;slurm;83281.2;62234.6;68685.4;69086.6
2023-11-10T17:50:25+01:00;slurm;82884.2;62404.8;68533.9;69206.3
2023-11-10T17:50:27+01:00;slurm;81800.2;62300.5;69058.6;69366.0
