date;project;score
2023-11-23T19:20:58+01:00;hpk;14694.86
2023-11-23T19:21:25+01:00;hpk;14698.55
2023-11-23T19:21:51+01:00;hpk;14659.06
2023-11-23T19:22:19+01:00;hpk;14688.19
2023-11-23T19:22:46+01:00;hpk;14685.21
2023-11-23T19:23:12+01:00;hpk;14685.03
2023-11-23T19:23:39+01:00;hpk;14693.79
2023-11-23T19:24:05+01:00;hpk;14643.19
2023-11-23T19:24:32+01:00;hpk;14676.36
2023-11-23T19:24:58+01:00;hpk;14677.38
