date;project;copy;scale;add;triad
2023-11-22T15:58:22+01:00;bridge-operator;49558.7;32535.6;35595.1;36242.8
2023-11-22T15:58:34+01:00;bridge-operator;80056.4;56535.1;60814.9;60933.8
2023-11-22T15:58:45+01:00;bridge-operator;81449.7;62230.6;68750.2;69070.5
2023-11-22T15:58:56+01:00;bridge-operator;82635.2;62441.4;68997.1;69328.3
2023-11-22T15:59:07+01:00;bridge-operator;81950.0;62475.7;68823.0;68847.0
2023-11-22T15:59:18+01:00;bridge-operator;82632.1;61840.1;68840.9;69034.9
2023-11-22T15:59:30+01:00;bridge-operator;82304.8;61854.9;68546.0;68864.4
2023-11-22T15:59:41+01:00;bridge-operator;83273.0;62283.2;68610.5;68811.3
2023-11-22T15:59:52+01:00;bridge-operator;82627.1;62242.2;68569.9;68995.7
2023-11-22T16:00:04+01:00;bridge-operator;82080.3;62244.5;68774.1;69118.4
