date;project;copy;scale;add;triad
2023-11-21T20:50:18+01:00;bridge-operator;8624.9;4859.9;5389.1;5440.0
2023-11-21T20:50:45+01:00;bridge-operator;8627.3;4852.9;5424.3;5429.9
2023-11-21T20:51:11+01:00;bridge-operator;8575.9;4853.3;5378.7;5402.2
2023-11-21T20:51:37+01:00;bridge-operator;8613.6;4831.4;5416.4;5412.5
2023-11-21T20:52:04+01:00;bridge-operator;8604.2;4834.6;5376.2;5409.3
2023-11-21T20:52:30+01:00;bridge-operator;8600.3;4837.9;5410.9;5411.2
2023-11-21T20:52:57+01:00;bridge-operator;8511.5;4812.2;5339.1;5392.8
2023-11-21T20:53:23+01:00;bridge-operator;8586.7;4826.5;5420.1;5399.9
2023-11-21T20:53:49+01:00;bridge-operator;8550.1;4806.7;5355.8;5390.4
2023-11-21T20:54:16+01:00;bridge-operator;8568.4;4826.0;5394.4;5365.8
