date;project;score
2023-11-23T11:06:53+01:00;slurm;15115.89
2023-11-23T11:07:03+01:00;slurm;15105.72
2023-11-23T11:07:13+01:00;slurm;14905.47
2023-11-23T11:07:23+01:00;slurm;14792.33
2023-11-23T11:07:33+01:00;slurm;14750.57
2023-11-23T11:07:43+01:00;slurm;14697.64
2023-11-23T11:07:53+01:00;slurm;14628.72
2023-11-23T11:08:03+01:00;slurm;14630.59
2023-11-23T11:08:13+01:00;slurm;14598.65
2023-11-23T11:08:23+01:00;slurm;14532.95
