date;project;score
2023-11-23T11:11:54+01:00;slurm;15099.25
2023-11-23T11:12:09+01:00;slurm;15087.88
2023-11-23T11:12:24+01:00;slurm;15107.52
2023-11-23T11:12:40+01:00;slurm;15089.77
2023-11-23T11:12:55+01:00;slurm;15100.55
2023-11-23T11:13:10+01:00;slurm;15094.82
2023-11-23T11:13:25+01:00;slurm;15104.85
2023-11-23T11:13:40+01:00;slurm;15094.10
2023-11-23T11:13:55+01:00;slurm;15089.19
2023-11-23T11:14:11+01:00;slurm;15096.89
