date;project;scoreBitsPerSec
2023-11-25T14:04:02+01:00;hpk;7694235667.02253
2023-11-25T14:04:48+01:00;hpk;7489415661.91928
2023-11-25T14:05:35+01:00;hpk;7421750753.19799
2023-11-25T14:06:21+01:00;hpk;7343611258.1033115
2023-11-25T14:07:08+01:00;hpk;7349380496.6847725
2023-11-25T14:07:54+01:00;hpk;7316886938.0487366
2023-11-25T14:08:41+01:00;hpk;7360072205.1431932
2023-11-25T14:09:28+01:00;hpk;7279597130.2484179
2023-11-25T14:10:14+01:00;hpk;7436619367.5500784
2023-11-25T14:11:01+01:00;hpk;7468705787.23162
