date;project;readthroughput;writethroughput
2023-11-14T18:26:44+01:00;ksi;502.23;72.29
2023-11-14T18:28:25+01:00;ksi;436.69;30.37
2023-11-14T18:30:15+01:00;ksi;469.94;134.33
2023-11-14T18:31:56+01:00;ksi;507.19;53.81
2023-11-14T18:33:45+01:00;ksi;489.11;128.64
2023-11-14T18:35:26+01:00;ksi;414.84;66.13
2023-11-14T18:37:06+01:00;ksi;497.48;46.18
2023-11-14T18:38:54+01:00;ksi;502.70;95.12
2023-11-14T18:40:38+01:00;ksi;498.12;34.49
2023-11-14T18:42:25+01:00;ksi;497.83;118.27
