date;project;score
2023-11-07T17:48:07+01:00;ksi;14584.63
2023-11-07T17:49:15+01:00;ksi;14587.60
2023-11-07T17:50:24+01:00;ksi;14586.13
2023-11-07T17:51:33+01:00;ksi;14585.21
2023-11-07T17:52:42+01:00;ksi;14560.83
2023-11-07T17:53:49+01:00;ksi;14587.48
2023-11-07T17:54:58+01:00;ksi;14567.37
2023-11-07T17:56:09+01:00;ksi;14598.87
2023-11-07T17:57:18+01:00;ksi;14588.88
2023-11-07T17:58:27+01:00;ksi;14570.64
