date;project;readthroughput;writethroughput
2023-11-14T20:53:34+01:00;ksi;304.46;53.47
2023-11-14T20:55:19+01:00;ksi;341.71;90.81
2023-11-14T20:56:55+01:00;ksi;346.04;48.83
2023-11-14T20:58:36+01:00;ksi;336.99;51.50
2023-11-14T21:00:22+01:00;ksi;344.42;73.54
2023-11-14T21:02:01+01:00;ksi;343.70;24.32
2023-11-14T21:03:45+01:00;ksi;339.01;80.34
2023-11-14T21:05:26+01:00;ksi;348.94;30.39
2023-11-14T21:07:10+01:00;ksi;336.26;73.18
2023-11-14T21:08:56+01:00;ksi;274.23;131.43
