date;project;readthroughput;writethroughput
2023-11-22T16:21:16+01:00;bridge-operator;502612;103995
2023-11-22T16:23:30+01:00;bridge-operator;408682;86753
2023-11-22T16:25:30+01:00;bridge-operator;408522;97273
2023-11-22T16:27:49+01:00;bridge-operator;277906;86299
2023-11-22T16:29:57+01:00;bridge-operator;350826;90849
2023-11-22T16:32:13+01:00;bridge-operator;398300;88369
2023-11-22T16:34:16+01:00;bridge-operator;398357;98710
2023-11-22T16:36:20+01:00;bridge-operator;372033;93839
2023-11-22T16:38:28+01:00;bridge-operator;458193;88950
2023-11-22T16:40:41+01:00;bridge-operator;302346;87378
