date;project;copy;scale;add;triad
2023-11-10T14:47:08+01:00;ksi;62747.9;60534.8;54298.1;49453.8
2023-11-10T14:48:24+01:00;ksi;63870.6;62847.8;59140.6;60713.7
2023-11-10T14:49:41+01:00;ksi;63495.9;62871.3;58850.2;60651.5
2023-11-10T14:51:00+01:00;ksi;61069.1;59988.3;56233.3;58042.6
2023-11-10T14:52:16+01:00;ksi;62971.6;60997.0;58012.5;59262.5
2023-11-10T14:53:36+01:00;ksi;63066.3;62671.7;58706.1;60593.1
2023-11-10T14:54:53+01:00;ksi;63018.9;62549.0;57459.5;60349.7
2023-11-10T14:56:13+01:00;ksi;62918.5;62894.9;59112.9;60912.1
2023-11-10T14:57:29+01:00;ksi;64565.0;61297.8;58750.6;60440.3
2023-11-10T14:58:44+01:00;ksi;62671.7;62865.4;58881.2;60527.5
